ud,he,d,woman
0,42.73333,1,0
0,9.5,1,0
0,14.62,1,0
0,12.23636,1,0
0,5.5,1,0
0,22.4,1,0
0,19.24,1,0
0,16,1,0
0,12.5,1,0
0,15.38,1,0
0,16.2,1,0
0,12.025,1,0
0,23.075,1,0
0,13.84,1,0
0,10.325,1,0
0,19.24,1,0
0,9.24,1,0
0,35.55556,1,0
0,38.46,1,0
0,26,1,0
0,22.12,1,0
0,22.64444,1,0
0,18.69,1,0
0,22.09302,1,0
0,34.62222,1,0
0,20.175,1,0
0,12.025,1,0
0,11.5,1,0
0,8,1,0
0,15.625,1,0
0,6,1,0
0,7.7,1,0
0,6.25,1,0
0,6.5,1,0
0,23.53846,1,0
0,23.31,1,0
0,20.175,1,0
0,16,1,0
0,24.77778,1,0
0,28.125,1,0
0,6.25,1,0
0,28.85,1,0
0,4.17,1,0
0,15.1,1,0
0,21.625,1,0
0,26.21818,1,0
0,31.56,1,0
0,21.625,1,0
0,21.37778,1,0
0,16.075,1,0
0,2.76,1,0
0,21.54,1,0
0,38.46,1,0
0,27.5,1,0
0,11.54,1,0
0,21.46667,1,0
0,28.84,1,0
0,36.92,1,0
0,21.45,1,0
0,25.94286,1,0
0,23.075,1,0
0,15,1,0
0,10,1,0
0,18.68571,1,0
0,11.11111,1,0
0,14.12,1,0
0,8,1,0
0,25,1,0
0,10.66,1,0
0,17.3,1,0
0,23.08,1,0
0,32.7,1,0
0,24.3,1,0
0,21.16,1,0
0,13.45,1,0
0,48.075,1,0
0,28.04167,1,0
0,24.0375,1,0
0,20.175,1,0
0,21.15,1,0
0,38.46,1,0
0,12.975,1,0
0,21.075,1,0
0,23.08333,1,0
0,50,1,0
0,40.6,1,0
0,33,1,0
0,31.15556,1,0
0,12,1,0
0,28.8,1,0
0,39,1,0
0,15.875,1,0
0,34.6,1,0
0,30.76,1,0
0,9.938461,1,0
0,14.9,1,0
0,27.4,1,0
0,12.58,1,0
0,13.84,1,0
0,28.84,1,0
0,15.375,1,0
0,10.26667,1,0
0,20.83333,1,0
0,12.5,1,0
0,33.21818,1,0
0,5,1,0
0,17.75,1,0
0,21.16,1,0
0,16.2,1,0
0,16.825,1,0
0,17.26087,1,0
0,17.3,1,0
0,10.1,1,0
0,24,1,0
0,12,1,0
0,34.96363,1,0
0,23.08333,1,0
0,34,1,0
0,10,1,0
0,15,1,0
0,16.825,1,0
0,20.5,1,0
0,38.45,1,0
0,20.45,1,0
0,6.290909,1,0
0,14.53333,1,0
0,6.666667,1,0
0,20.38,1,0
0,29.8,1,0
0,14.76,1,0
0,5.485714,1,0
0,23.75,1,0
0,12.81667,1,0
0.2307692,0,0,0
0,36.05,1,0
0,16.07143,1,0
0,20.2,1,0
0,18.65714,1,0
0,20.5,1,0
0,24.05,1,0
0,32.68,1,0
0,12,1,0
0,19.23333,1,0
0,20.2,1,0
0,20.2,1,0
0,35,1,0
0,32.05,1,0
0,18.5,1,0
0,17.3,1,0
0,22.3,1,0
0,65,1,0
0,9,1,0
0,9,1,0
0,32.72727,1,0
0,19.23333,1,0
0,24.05,1,0
0,16.66667,1,0
0,38.46,1,0
0,7,1,0
0,13.825,1,0
0,10.53,1,0
0,38.46,1,0
0,20.675,1,0
0,5,1,0
0,34.17778,1,0
0,13,1,0
0,22.64444,1,0
0,19.55,1,0
0,16.25,1,0
0,18.18919,1,0
0,20,1,0
0,20.625,1,0
0,23.08,1,0
0,19.24,1,0
0,6.5,1,0
0,17.95555,1,0
0,17.3,1,0
0,20.97727,1,0
0,16.59,1,0
0,16,1,0
0,33.65,1,0
0,24,1,0
0,24.05,1,0
0,23,1,0
0,21.15,1,0
0,20.18,1,0
0,35.76,1,0
0,20,1,0
0,7,1,0
0,19.6,1,0
0,8.333333,1,0
0,13.88889,1,0
0,31.25,1,0
0,38.45,1,0
0,19.5,1,0
0,19.44,1,0
0,33.56364,1,0
0,19.42424,1,0
0,26.16,1,0
0,19.22222,1,0
0,28.85,1,0
0,20,1,0
0,5.65,1,0
0,10,1,0
0,20.83333,1,0
0,12.82222,1,0
